Date,Name,Year,Letterboxd URI,Rating,Rewatch,Review,Tags,Watched Date
2024-08-17,Alien: Romulus,2024,https://boxd.it/778jAn,4.5,,"If this had been the original sequel to Alien we would have all been disappointed by the lack of innovation (thank you James Cameron for thinking outside the box). This film however might be better seen as a remake rather than a sequel - and it actually works really freaking well that way! The biggest negative for me was between all those beautifully crafted practical effects and sets, there’s the AI deep fake elephant in the room spoiling it all. In my opinion - if <b>AI</b>n Holm had been relegated to just monitor screen appearances it wouldn’t have felt as jarring, but if anything it says a lot for the rest of the effects. Best Alien film since Aliens.",,2024-08-16
2025-12-31,Train Dreams,2025,https://boxd.it/ckGBPl,4,,Red Dead Redemption: The Movie,,2025-12-30
